DataHora,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Anomalia,Classe,Score_Anomalia,PCA1,PCA2
2009-02-24 23:00:00,0.33843333333333336,0.11703333333333334,244.35649999999998,1.5066666666666668,0.0,0.5166666666666667,0.0,1,Normal,1.0355608151530697,-1.8195099350145854,0.4581384857871302
2009-02-25 00:00:00,0.3001,0.060533333333333335,244.03616666666667,1.25,0.0,0.0,0.0,1,Normal,1.0118035488812178,-2.0637465015802596,-0.17362666040503638
2009-02-25 01:00:00,0.32603333333333334,0.099,242.82416666666668,1.4233333333333333,0.0,0.23333333333333334,0.0,1,Normal,1.0388196293688174,-1.7401244688258897,0.15924206530076768
2009-02-25 02:00:00,0.32116666666666666,0.09243333333333334,245.808,1.3599999999999999,0.0,0.3,0.0,1,Normal,1.0266555089651568,-2.11539106018225,0.2747476934966149
2009-02-25 03:00:00,0.3017,0.06306666666666667,245.46066666666667,1.2633333333333332,0.0,0.0,0.0,1,Normal,1.0118969186273568,-2.217309197337373,-0.06917860477552129
2009-02-25 04:00:00,0.33916666666666667,0.11656666666666667,243.94283333333334,1.4733333333333332,0.0,0.5166666666666667,0.0,1,Normal,1.0283156031216971,-1.7779744697539077,0.4309775010718241
2009-02-25 05:00:00,0.9439666666666666,0.0547,243.44816666666665,3.8466666666666667,0.0,0.0,10.666666666666666,1,Normal,0.9949581715281438,-0.5963565359469165,-1.096582522723563
2009-02-25 06:00:00,1.2971000000000001,0.06523333333333334,243.964,5.483333333333333,0.0,0.0,5.166666666666667,1,Normal,1.212774946078722,-0.42398896724917373,-0.6901690947218221
2009-02-25 07:00:00,2.0989999999999998,0.16796666666666665,239.458,8.75,0.2,0.5,17.6,1,Normal,1.026538465678193,2.2031394739460493,-0.8406626774657239
2009-02-25 08:00:00,1.8831333333333333,0.05333333333333334,237.143,7.873333333333333,8.9,0.0,17.25,1,Normal,1.0929965754822157,2.5843993209735086,-1.5330300773956271
2009-02-25 09:00:00,0.9522666666666667,0.08773333333333334,238.25716666666668,4.096666666666667,9.1,0.36666666666666664,1.15,1,Normal,1.113364365988396,0.5181212692971937,0.178879532968701
2009-02-25 10:00:00,1.089,0.06303333333333333,238.0256666666667,4.566666666666666,0.0,0.13333333333333333,12.366666666666667,1,Normal,1.0864747547121867,0.3697032554518239,-1.4470196082144016
2009-02-25 11:00:00,1.3251333333333333,0.05196666666666667,238.285,5.496666666666667,0.0,0.0,17.433333333333334,1,Normal,1.056996921516445,0.8743488571779945,-1.9391363995340858
2009-02-25 12:00:00,1.3469666666666666,0.08076666666666667,239.1345,5.5600000000000005,0.0,0.5,17.533333333333335,1,Normal,1.0142189402716393,0.9312017117073073,-1.550154411588803
2009-02-25 13:00:00,0.319,0.052533333333333335,241.03216666666668,1.3266666666666667,0.0,0.0,0.9333333333333333,1,Normal,0.9883931938717107,-1.666472040176151,-0.48560314346909367
2009-02-25 14:00:00,0.27513333333333334,0.062066666666666666,244.004,1.1566666666666667,0.0,0.0,0.0,1,Normal,1.0465137076305573,-2.086577457564198,-0.15518429840984238
2009-02-25 15:00:00,0.31016666666666665,0.1146,243.1796666666667,1.3433333333333333,0.0,0.5,0.0,1,Normal,1.1125754286326892,-1.7370383478579894,0.373092039575638
2009-02-25 16:00:00,0.26993333333333336,0.0531,243.35433333333333,1.1533333333333333,0.0,0.0,0.0,1,Normal,1.0049900615253722,-2.0440478328846976,-0.27856433528114777
2009-02-25 17:00:00,0.2982666666666667,0.08656666666666667,241.56416666666667,1.25,0.0,0.45,0.0,1,Normal,1.1575076170677558,-1.6658542687137232,0.005104002032545125
2009-02-25 18:00:00,0.2746,0.0712,238.95316666666668,1.1666666666666667,0.0,0.06666666666666667,0.0,1,Normal,1.0447891078112748,-1.4671768054659444,-0.3412768791191194
2009-02-25 19:00:00,0.9784333333333334,0.11936666666666666,237.48683333333332,4.133333333333334,0.0,0.0,4.333333333333333,1,Normal,1.0900947354742383,0.0268256879768838,-0.40137355892331344
2009-02-25 20:00:00,1.6952333333333334,0.056133333333333334,236.04633333333334,7.183333333333334,0.0,0.5,7.033333333333333,1,Normal,1.1348396169095263,1.132641710208332,-1.3646424075789967
2009-02-25 21:00:00,1.7182666666666668,0.04,237.5085,7.21,0.0,0.0,8.583333333333334,1,Normal,1.097443903834399,0.9820354938075242,-1.6145228961183091
